# CSV-File created with merge-csv.com,,,
# -----------------------------------------------------------,,,
,,,
,Actual price,Predicted_price,
8,1000,1476.398456,
16,894,976.2154892,
0,2800,1369.092087,
18,700,816.1222859,
11,1200,1025.973881,
,,,
0,,15000,1369.092087
1,,12000,1218.950563
2,,30000,2050.137963
3,,23000,1713.076643
4,,15000,1329.285374
5,,13500,1249.238772
6,,9000,1029.002324
7,,9500,1042.41562
8,,19000,1476.398456
9,,24000,1700.096522
10,,15000,1269.575304
11,,10000,1025.973881
12,,15000,1249.671947
13,,19500,1450.005038
14,,9000,949.3888971
15,,15000,1219.816912
16,,10000,976.2154892
17,,6000,779.3440154
18,,7000,816.1222859
19,,10000,946.3604541
20,,12000,1029.868673
21,,6000,739.5373019
22,,35000,2084.75414
23,,14000,1093.473536
,,,
8,1000,1476.398456,
16,894,976.2154892,
0,2800,1369.092087,
18,700,816.1222859,
11,1200,1025.973881,
,,,
0,-14128.53085,"[1500, 2800]",
1,-118719.2867,"[12000, 700]",
2,-297812.1135,"[30000, 1500]",
3,-228112.9809,"[23000, 2300]",
4,-148539.2743,"[15000, 1450]",
5,-133586.0553,"[13500, 2000]",
6,-88850.23257,"[9000, 1000]",
7,-93828.40826,"[9500, 950]",
8,-188367.0163,"[19000, 1000]",
9,-238098.8189,"[24000, 1569]",
10,-148541.6108,"[15000, 1400]",
11,-98806.86432,"[10000, 894]",
12,-59013.88943,"[6000, 600]",
13,-68960.89481,"[7000, 700]",
14,-138599.2785,"[14000, 1200]",
15,-118716.9502,"[12000, 750]",
16,-59013.88943,"[6000, 600]",
17,-347547.1404,"[35000, 2000]",
18,-138589.9325,"[14000, 1400]",
